name,slug,chains,contract_addresses,kyc_status,kyc_date,audit_status,audit_date,audit_score,verification_tier,renounced,kyc_certificate_urls,audit_report_urls,audit_certificate_urls
Me Protocol,me-protocol,Ethereum,,approved,2025-08-04,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Me%20Protocol%20KYC%20Certificate.png,,
Annoying Orange SOL,annoying-orange-sol,Solana,,approved,2024-10-29,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Annoying%20Orange%20SOL%20KYC%20Certificate.png,,
ChewySwap,chewyswap,,0x2761723006d3eb0d90b19b75654dbe543dcd974f,approved,2024-01-07,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/ChewySwap%20KYC%20Certificate.png,,
FanX Protocol,fanx-protocol,Ethereum,0xe2918aa38088878546c1a18f2f9b1bc83297fdd3 | 0x1918ebb39492c8b98865c5e53219c3f1ae79e76f | 0x296c39985fa3eb3b1d76c95245e8ed44da4348cf | 0xaedcf2bf41891777c5f638a098bbde1edba7b264,approved,2025-07-11,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/FanX%20Protocol%20KYC%20Certificate.png,,
Waygate,waygate,,,approved,2023-02-23,none,,,kyc-only,no,,,
Kolytics,kolytics,Ethereum,0xe4ad6e3a254d545215089c972056494dfc12406c,approved,2025-03-09,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Kolytics%20KYC%20Certificate.png,,
The-ZOO of Cubs,the-zoo-of-cubs,,,approved,2023-03-22,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/The-ZOO%20of%20Cubs%20KYC%20Certificate.png,,
Asgardian Bulls Club,asgardian-bulls-club,,0xf6aa5be7948da9db6287c60fcd5f82f7b8b05dcb,approved,2021-01-01,none,,,kyc-only,no,,,
Mario Burn Bros,mario-burn-bros,Solana,95ftv7cpxexs4jsdyjheuvbv7z43nvpkp1mrzmt5aoo6,approved,2024-05-06,completed,2024-05-04,85,full,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Mario%20Burn%20Bros%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/MARIOBURNBROS_TOKEN_05_04_24.pdf,
Foodsply,foodsply,,,rejected,2022-12-21,none,,,rejected,no,,,
BlockBets Casino,blockbets-casino,BSC,0x45183049f5dfb676aba57fdde8dd37e794781d9a,approved,2024-04-04,completed,2024-04-05,86,full,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/BlockBets%20Casino%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/BLOCKBETS_TOKEN_04_05_24.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/BLOCKBETS_TOKEN_04_05_24.png
Lil Doge Floki,lil-doge-floki,,,approved,2021-01-01,none,,,kyc-only,no,,,
Solar AI,solar-ai,Ethereum,,approved,2024-09-29,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Solar%20AI%20KYC%20Certificate.png,,
CyberNode NFTs,cybernode-nfts,,,approved,2022-05-07,none,,,kyc-only,no,,,
ZKGPT,zkgpt,Ethereum,0x733fd1b5aa477d55070546922ba1bd3751c167c7,approved,2024-11-21,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/ZKGPT%20KYC%20Certificate.png,,
The Depth of the Daimon,the-depth-of-the-daimon,Ethereum,0x0abd08c3794d8d5e88e112113aa11ada4ff12b8e,approved,2024-02-14,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/The%20Depth%20of%20the%20Daimon%20KYC%20Certificate.png,,
MEGAWEAPONS,megaweapons,,0x0b8057c3cc676c329c25c1d0cd27776efa73762d,approved,2021-01-01,none,,,kyc-only,no,,,
FreeRiver,freeriver,,0x63f2adf5f76f00d48fe2cbef19000af13bb8de82,approved,2021-01-01,none,,,kyc-only,no,,,
DeFi²,defi%c2%b2,,0xdd3a88ef8535ff7b19178b735c52ea277ef25623,approved,2022-12-01,none,,,kyc-only,no,,,
